,forecast_xgb_MW,baseline_blend_MW
2018-08-03 01:00:00,13663.398,13671.5
2018-08-03 02:00:00,12988.083,12953.5
2018-08-03 03:00:00,12538.277,12571.0
2018-08-03 04:00:00,12292.441,12285.5
2018-08-03 05:00:00,12340.679,12378.5
2018-08-03 06:00:00,12880.001,12868.5
2018-08-03 07:00:00,13873.072,13609.0
2018-08-03 08:00:00,14523.988,14285.0
2018-08-03 09:00:00,15123.075,14933.0
2018-08-03 10:00:00,15679.427,15561.0
2018-08-03 11:00:00,16369.6455,16350.0
2018-08-03 12:00:00,16871.33,16968.5
2018-08-03 13:00:00,17403.428,17647.0
2018-08-03 14:00:00,17954.936,18167.0
2018-08-03 15:00:00,18250.99,18482.5
2018-08-03 16:00:00,18424.635,18665.5
2018-08-03 17:00:00,18503.975,18755.0
2018-08-03 18:00:00,18420.033,18548.0
2018-08-03 19:00:00,17963.605,18111.0
2018-08-03 20:00:00,17445.531,17548.0
2018-08-03 21:00:00,17073.729,16968.0
2018-08-03 22:00:00,16653.633,16569.0
2018-08-03 23:00:00,15534.072,15529.5
2018-08-04 00:00:00,14312.183,14347.0
